id,title,date,author,link,content,dateRead
1,Пушилин сообщил о попытках ВСУ перебросить технику в Марьинку,"Fri, 20 Jan 2023 18:21:24 +0300",Кристина Есикова,https://lenta.ru/news/2023/01/20/marvsu/,"Вооруженные силы Украины (ВСУ) пытаются перебросить технику в Марьинку, сообщил временно исполняющий обязанности главы Донецкой народной республики (ДНР) Денис Пушилин.",2023-01-20 17:25:03.910670
2,Названы самые популярные форматы жилья для покупки в ипотеку в 2023 году,"Fri, 20 Jan 2023 18:18:23 +0300",Полина Кислицына,https://lenta.ru/news/2023/01/20/ipoteka_zapros/,"Самыми популярными форматами жилья, которые будут приобретать по семейной ипотеке, в 2023 году станут двух- и трехкомнатные квартиры, а также малометражные лоты. По словам девелоперской компании «Мармакс», из-за изменения условий семейной ипотеки предпочтения покупателей также трансформируются.",2023-01-20 17:25:03.911670
3,Перечислены самые бесполезные аксессуары для смартфонов,"Fri, 20 Jan 2023 18:18:01 +0300",Андрей Ставицкий,https://lenta.ru/news/2023/01/20/ne_pokupai/,"Авторы издания SlashGear перечислили самые бесполезные аксессуары для смартфона. В первую очередь журналисты выделили миниатюрные беспроводные принтеры, которые способны печатать компактные фотографии напрямую со смартфона. «Пустой тратой денег» авторы назвали чехлы на телефон со встроенным аккумулятором.",2023-01-20 17:25:03.911670
4,В Сирии убили местного главаря ИГ,"Fri, 20 Jan 2023 18:14:45 +0300",Виктория Кондратьева,https://lenta.ru/news/2023/01/20/isiskilled/,"Сотрудники сил безопасности Сирии провели спецоперацию против террористического подполья в провинции Дераа на юге республики. В результате был убит один из главарей террористической группировки «Исламское государство» (ИГ, запрещена в России) Мухаммад Али аш-Шагури (также известен как Абу Омар аш-Шагури).",2023-01-20 17:25:03.911670
5,Емельяненко высказался о скандальном видео со своим участием,"Fri, 20 Jan 2023 18:10:12 +0300",Ксения Курашкина,https://lenta.ru/news/2023/01/20/emelianenko/,"Боец ММА Александр Емельяненко высказался о попавшем в сеть видео, на котором он запечатлен в состоянии алкогольного опьянения. «Нельзя дружить только с солнечной стороной человека. Учитесь принимать его целостным», — заявил он. Ранее менеджер бойца Никита Бурчак признал, что Емельяненко в момент инцидента был пьян.",2023-01-20 17:25:03.911670
6,В ДНР предрекли оперативное окружение Артемовска,"Fri, 20 Jan 2023 18:10:00 +0300",Алевтина Запольская,https://lenta.ru/news/2023/01/20/okruzhenie/,Ситуация в Артемовске близка к оперативному окружению. Об этом заявил врио главы Донецкой народной республики (ДНР) Денис Пушилин.,2023-01-20 17:25:03.911670
7,Эрдоган провел телефонный разговор с Зеленским,"Fri, 20 Jan 2023 18:10:00 +0300",Анжелика Бережная,https://lenta.ru/news/2023/01/20/erdogan_ze/,"Президент Турции Реджеп Тайип Эрдоган провел телефонный разговор с украинским лидером Владимиром Зеленским и заявил о готовности быть посредником в установлении мира между Россией и Украиной. В ходе беседы политики также обсудили гуманитарную помощь, энергетическую поддержку украинской стороны и зерновую сделку.",2023-01-20 17:25:03.911670
8,«Победа» после решения суда изменит правила провоза ручной клади,"Fri, 20 Jan 2023 18:09:00 +0300",Дарья Рыбак,https://lenta.ru/news/2023/01/20/pobeda/,Авиакомпания «Победа» после решения Верховного суда России о незаконности ее правил провоза ручной клади изменит формулировки требований для пассажиров. Для выполнения судебных предписаний лоукостер уточнит формулировки правил провоза ручной клади: дамской сумки и портфеля.,2023-01-20 17:25:03.912640
9,Стали известны подробности ранения российской журналистки в Соледаре,"Fri, 20 Jan 2023 18:06:00 +0300",Олег Давыдов,https://lenta.ru/news/2023/01/20/readovka_journ/,"Стали известны подробности ранения военной корреспондентки российского интернет-издания Readovka Анастасии Елсуковой. Редакция издания сообщила в своем Telegram-канале, что у журналистки серьезно повреждены колено и бедро. Отмечается, что Елсукова попала под обстрел вместе с группой других корреспондентов.",2023-01-20 17:25:03.912640
10,В Турции ЧВК Эрдогана обвинили в репрессиях,"Fri, 20 Jan 2023 18:03:00 +0300",Глеб Бажуткин,https://lenta.ru/news/2023/01/20/erdoganbabamizmi/,"Представители национально-республиканской партии (НРП) Турции получают угрозы от представителей турецкой частной военной компании (ЧВК) SADAT. «Полувоенная организация SADAT создана в рамках турецких законов с целью совершения преступлений, она является преступной структурой», — заявил замглавы НРП Бюлент Тезджан.",2023-01-20 17:25:03.912640
